user_id,item_list
0,752 617 20 391 18484 2488 29 107 673 23
1,6874 665 1068 62 393 1689 56 61 13988 20379
2,121 7864 8819 21319 453 6712 1308 18939 1311 22415
3,20 21 269 58 917 352 393 536 23 557
4,23 80 21 124 68 56 436 541 64 2119
5,53 21 25 348 393 124 468 60 270 396
6,272 56 23 60 895 62 1746 395 521 208
7,1154 21 672 364 1616 58 22370 676 421 771
8,1311 828 7539 827 9829 9938 9470 759 2746 22505
9,21 23 58 353 62 272 393 271 348 436
10,22 176 177 21 3397 175 179 613 1004 1608
11,16516 11660 21 8650 71 2086 1154 356 10177 2117
12,750 2494 149 5735 673 831 2419 14710 1311 2148
13,100 6777 168 311 1663 177 22302 3502 8355 1371
14,22 2472 124 23 11363 29 56 25 352 436
15,22 22472 22370 771 14460 7632 11761 7569 16380 23
16,432 124 25 22 20 7414 23 29 2333 2581
17,1911 22 613 21 1004 20 13475 2094 3502 56
18,80 71 64 2278 88 1632 356 2119 3987 2346
19,496 16887 17521 15054 130 23 493 56 201 102
20,771 336 21 22 53 268 1449 2064 1752 1004
21,11855 20422 18919 813 20958 2998 445 13988 14805 14524
22,53 752 336 617 1752 387 2592 1835 2023 598
23,750 1154 828 101 499 679 5 106 2494 1189
24,271 99 2037 1308 58 13359 272 105 269 9599
25,25 348 353 468 22 53 436 27 207 20
26,20 29 672 124 676 23 1263 2263 1691 771
27,58 56 684 269 29 394 1068 23 393 20
28,684 121 126 93 499 678 2559 14710 1263 56
29,113 5440 836 693 710 2714 2916 1498 698 1328
30,21 345 348 25 393 386 5338 124 20 1068
31,731 751 455 446 448 752 1266 426 667 1263
32,352 895 521 1556 2824 2281 2781 3474 615 2485
33,1640 126 1641 672 95 1642 1653 21 115 677
34,450 667 448 828 458 14805 1691 100 751 20422
35,22403 750 14809 6464 7864 828 130 8819 10221 17531
36,446 450 581 811 1266 453 20422 2444 421 810
37,29 20 353 23 436 208 557 271 261 58
38,270 58 60 54 352 53 62 387 751 932
39,1502 692 20104 71 80 2105 6495 82 698 5083
40,23 436 348 21 207 347 1437 124 353 468
41,178 7303 20 314 3397 175 177 2333 93 613
42,20 21 124 29 2538 1091 613 353 21942 771
43,2998 18919 14524 14805 450 15245 13178 20422 271 310
45,67 75 64 68 77 771 79 2112 2106 90
46,22 450 126 572 121 16887 2313 20 1534 106
47,23 22 25 551 751 124 752 56 53 436
48,207 676 126 1222 95 1194 818 21 841 24
49,1327 58 53 272 62 393 1263 20 20422 7539
50,272 62 448 2036 56 19112 208 395 54 2276
51,1048 4073 557 22 23 1911 53 450 916 56
52,207 68 20 71 80 629 2106 1327 2111 124
53,109 1263 1264 100 1849 20422 132 453 457 19112
54,25 23 121 353 270 124 29 436 672 207
55,15454 10221 99 1308 56 7864 9791 8819 12118 21
56,541 826 1039 775 1108 773 155 154 385 995
57,21 20 432 56 818 557 207 14985 1004 23112
58,393 124 62 58 271 1068 21 270 23 426
59,3391 2792 5068 5763 4577 1212 1514 2584 271 9007
60,20 23 113 124 56 676 25 1308 27 353
