user_id,item_list
0,20 18484 617 2495 391 2488 23 29 2496 3391
1,6874 1068 62 393 1689 56 665 61 58 60
2,121 1311 8819 7864 18939 21319 6712 1648 453 1308
3,20 21 269 352 25 121 58 23 557 393
4,23 21 80 124 436 64 541 56 28 27
5,53 21 25 393 22 20 2694 348 124 596
6,56 23 895 521 21 208 4297 62 272 1746
7,1154 364 21 22 421 58 672 62 676 56
8,828 9829 10301 9938 17457 13788 2494 827 17177 100
9,21 58 23 29 353 272 121 62 393 828
10,22 21 613 3397 179 1004 177 1608 176 9733
11,16516 71 21 11660 8650 356 1154 917 95 29
12,2494 750 149 1311 106 673 2488 831 5735 679
13,5735 12542 22 3768 5 311 310 16620 14220 283
14,2472 11363 124 56 23 436 29 521 1266 771
15,22370 7632 771 22472 14460 22 7569 16380 8438 1691
16,432 124 2581 2336 20 25 2333 771 29 808
17,1911 22 613 21 20 1004 25 6224 450 2094
18,80 71 2278 64 88 356 3987 2637 1697 2109
19,496 16887 23 17521 102 579 130 201 1676 15054
20,771 22 53 21 2064 598 9477 1752 11621 22505
21,13988 448 20422 17714 813 11855 14805 445 457 14524
22,53 617 1752 387 61 598 336 2592 2064 596
23,1154 750 499 828 101 2494 450 831 5 778
24,2037 13359 446 271 99 272 1308 352 62 1194
25,22 25 348 353 468 1437 560 207 53 393
26,20 29 453 592 672 124 676 22713 56 1691
27,58 56 684 269 394 29 20 1068 1263 393
28,684 121 93 126 499 486 1263 2559 453 678
29,5440 13880 710 1498 126 3898 1502 11217 2916 519
30,21 345 124 386 393 348 20 5338 524 2963
31,731 25 752 446 751 455 448 458 812 1266
32,352 55 56 895 2824 2781 1746 521 2497 270
33,1640 1641 672 126 95 645 21 1642 1437 1653
34,450 667 448 828 14805 2494 22 1266 1648 673
35,22403 750 828 130 1534 13013 127 10221 22760 673
36,446 581 450 811 453 1266 2444 421 20422 458
37,29 20 353 23 58 436 121 271 208 261
38,270 58 60 62 54 22 352 751 121 21
39,1502 80 692 71 20104 82 2105 3360 698 9328
40,23 21 353 1437 348 207 436 347 828 468
41,7303 20 3397 2336 314 2333 10221 93 3036 778
42,21 20 29 124 56 373 771 613 731 353
43,271 18919 21 1266 14805 2998 572 667 448 23
45,75 68 67 771 64 2106 77 84 2112 14308
46,22 450 126 121 16887 572 21 2313 13063 499
47,551 751 752 23 25 56 53 124 436 29
48,207 1222 676 126 21 818 1194 53 20 581
49,1327 58 53 1263 62 22 56 20422 393 453
50,448 62 426 13988 450 2276 54 2036 21 208
51,25 53 23 4073 56 1911 426 1048 20 557
52,207 20 68 71 2111 80 2106 2112 1327 2117
53,1263 1264 109 100 132 750 453 457 12542 1691
54,121 353 25 56 124 436 672 29 209 521
55,10221 15454 12118 99 1308 6702 23 29 8819 21
56,541 826 1039 775 1108 385 155 995 773 154
57,21 20 432 56 25 335 557 124 14651 521
58,393 271 62 124 58 21 29 448 270 1263
59,1216 2792 5068 3391 1514 4577 2584 5763 16875 368
60,20 23 56 124 25 676 113 1308 28 1004
61,551 676 126 8466 2585 537 8463 1607 25 4574
62,126 676 261 14985 1910 8840 3100 4559 22469 581
63,450 537 56 387 773 23 446 124 1068 10221
64,854 19861 450 629 645 16801 8215 11474 1437 77
65,385 773 938 4480 1994 537 345 546 3645 9463
66,20 35 23 450 29 56 436 521 560 1311
67,828 2256 100 109 239 132 2419 1733 106 759
68,22 21 58 448 271 56 1691 13988 9278 393
69,626 1039 826 154 775 153 537 909 773 468
70,352 678 21 773 521 4297 121 2472 937 60
71,18919 15992 126 909 450 56 25 23 457 1308
72,393 53 271 337 55 272 23 270 536 772
73,11621 10376 15304 21420 9829 17415 11678 6138 17449 8113
74,29 21 23 22 56 60 61 1068 396 1004
75,1266 56 917 2057 61 453 3644 25 1038 20
76,126 448 1154 773 667 446 95 1691 121 1648
77,4614 22 949 951 15813 18800 3116 450 4617 2217
78,60 1068 62 124 53 54 596 557 269 20
79,629 95 5668 121 2109 84 77 2104 75 426
80,71 124 67 2112 68 80 1606 22 2588 29
81,29 21 579 20 575 56 486 16887 576 494
82,543 775 385 938 1109 773 683 551 468 495
83,1154 1263 58 453 810 581 446 56 271 676
84,486 22 676 124 271 58 56 126 25 1911
85,53 704 1928 5938 56 387 2053 2057 1870 336
86,77 2106 68 773 4329 2587 27 385 64 2588
87,22 25 353 2759 771 261 21 436 124 23
88,25 23 1553 53 1606 545 22 21 124 448
89,432 21 450 352 21643 12051 1534 106 2891 22193
90,450 446 1263 394 448 62 426 581 1266 60
91,15344 4380 22560 207 3709 22561 12652 19820 885 3716
92,1480 7240 8819 10221 450 21 2077 364 810 271
93,3197 99 915 1308 263 95 1311 1794 917 121
94,1861 1653 1640 1677 1607 1681 1911 18557 1678 16458
95,22 21 20 932 22782 352 968 1870 1746 60
96,1263 1266 450 814 1311 1308 455 672 124 56
97,6203 21 2828 5384 1394 15413 1863 5385 2222 4578
98,124 22 676 21 3816 25 23 1048 677 917
99,541 773 826 153 155 1108 1039 993 124 21
100,537 555 826 993 347 938 153 551 1039 995
101,61 60 270 1748 596 55 1263 54 2064 23
102,22 21 544 1835 353 18557 1326 348 1023 16458
103,673 14460 126 1616 16887 95 675 576 127 106
104,126 827 455 1299 121 1189 551 2525 1676 17714
105,704 4577 2057 5938 1869 5070 3391 1919 1865 5069
106,22 21 53 14278 7703 810 61 5140 20 9209
107,126 29 1308 113 95 704 828 1616 6597 2256
108,1213 836 3992 1502 2694 692 58 1266 13423 2298
109,23 557 56 27 817 347 1023 207 348 2399
110,632 469 311 1616 3499 23 3497 813 450 207
111,15344 22754 394 62 932 60 269 14738 22528 396
112,9209 21474 121 25 126 64 10706 1616 124 23
113,56 23 21 54 62 60 932 154 61 124
114,356 364 121 80 126 52 10353 773 672 2335
115,6202 14524 453 1648 7240 1263 7193 13988 22 21
116,2112 20 21 68 22672 1624 53 348 352 71
117,557 21 1901 20 450 667 24 448 841 458
118,1263 1266 446 207 812 453 448 1308 683 1320
119,828 1263 1832 831 750 1849 6324 108 2147 1308
120,29 207 448 20 453 21 1648 519 450 455
121,773 537 385 995 1108 124 17517 775 13002 938
122,10221 7864 11044 14809 15978 16713 12114 15441 18001 22441
123,356 364 453 668 20532 450 667 1263 448 13860
124,16887 731 2148 499 17521 579 492 1106 10221 6702
125,672 683 266 448 426 1266 90 56 450 1154
126,1979 6494 21319 8335 1311 684 23 2535 448 56
127,771 29 763 22 270 56 21 8335 521 613
128,22 680 56 261 23 53 353 3502 20 179
129,20104 53 4335 77 1188 393 83 56 52 596
130,1327 1859 1212 20 1514 22 975 5070 21 893
131,22441 15454 14809 22631 22443 18939 17075 8819 6712 773
132,22 1263 426 1266 446 448 23 124 581 53
133,126 773 676 775 677 1154 626 9733 1265 115
134,684 29 20 683 818 2086 358 356 15672 1297
135,450 53 453 448 1648 446 387 349 1263 1198
136,4220 5642 2410 3244 2413 617 771 2047 1870 2048
137,80 20553 2106 20352 2111 64 396 2119 750 84
138,21 20 1327 750 179 109 679 2256 29 107
