SearchBayesianSkopt: Resuming 'SLIMElasticNetRecommender' Failed, no such file exists.
SearchBayesianSkopt: New best config found. Config 0: {'l1_ratio': 0.0012348546776512251, 'topK': 1459, 'alpha': 0.06964542194937692, 'workers': 2, 'mw': 5} - results: PRECISION: 0.0436229, PRECISION_RECALL_MIN_DEN: 0.0688891, RECALL: 0.0635791, MAP: 0.0191777, MAP_MIN_DEN: 0.0300562, MRR: 0.1373283, NDCG: 0.0648991, F1: 0.0517435, HIT_RATE: 0.3117595, ARHR_ALL_HITS: 0.1616262, NOVELTY: 0.0039542, AVERAGE_POPULARITY: 0.2992674, DIVERSITY_MEAN_INTER_LIST: 0.8565554, DIVERSITY_HERFINDAHL: 0.9856493, COVERAGE_ITEM: 0.1111519, COVERAGE_ITEM_HIT: 0.0159546, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3072211, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0081444, SHANNON_ENTROPY: 7.4394439, RATIO_DIVERSITY_HERFINDAHL: 0.9859714, RATIO_DIVERSITY_GINI: 0.0168545, RATIO_SHANNON_ENTROPY: 0.5523059, RATIO_AVERAGE_POPULARITY: 5.3380808, RATIO_NOVELTY: 0.2689395, 
SearchBayesianSkopt: Config evaluated with evaluator_test. Config: {'l1_ratio': 0.0012348546776512251, 'topK': 1459, 'alpha': 0.06964542194937692, 'workers': 2, 'mw': 5} - results:
CUTOFF: 10 - PRECISION: 0.0555129, PRECISION_RECALL_MIN_DEN: 0.0744032, RECALL: 0.0642177, MAP: 0.0252753, MAP_MIN_DEN: 0.0334360, MRR: 0.1695400, NDCG: 0.0748075, F1: 0.0595488, HIT_RATE: 0.3704966, ARHR_ALL_HITS: 0.2057915, NOVELTY: 0.0039555, AVERAGE_POPULARITY: 0.2988992, DIVERSITY_MEAN_INTER_LIST: 0.8569594, DIVERSITY_HERFINDAHL: 0.9856897, COVERAGE_ITEM: 0.1119680, COVERAGE_ITEM_HIT: 0.0174644, ITEMS_IN_GT: 0.9081487, COVERAGE_USER: 0.9941626, COVERAGE_USER_HIT: 0.3683338, USERS_IN_GT: 0.9941626, DIVERSITY_GINI: 0.0082018, SHANNON_ENTROPY: 7.4464565, RATIO_DIVERSITY_HERFINDAHL: 0.9860119, RATIO_DIVERSITY_GINI: 0.0169731, RATIO_SHANNON_ENTROPY: 0.5528265, RATIO_AVERAGE_POPULARITY: 5.3315136, RATIO_NOVELTY: 0.2690299, 

SearchBayesianSkopt: Config 1 is suboptimal. Config: {'l1_ratio': 0.016076847618706487, 'topK': 751, 'alpha': 0.06717973338487618, 'workers': 2, 'mw': 5} - results: PRECISION: 0.0397104, PRECISION_RECALL_MIN_DEN: 0.0622724, RECALL: 0.0573581, MAP: 0.0175321, MAP_MIN_DEN: 0.0271658, MRR: 0.1273284, NDCG: 0.0590772, F1: 0.0469300, HIT_RATE: 0.2871142, ARHR_ALL_HITS: 0.1488023, NOVELTY: 0.0039949, AVERAGE_POPULARITY: 0.2926506, DIVERSITY_MEAN_INTER_LIST: 0.8613933, DIVERSITY_HERFINDAHL: 0.9861330, COVERAGE_ITEM: 0.1674624, COVERAGE_ITEM_HIT: 0.0135063, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.2829346, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0118863, SHANNON_ENTROPY: 7.6213417, RATIO_DIVERSITY_HERFINDAHL: 0.9864553, RATIO_DIVERSITY_GINI: 0.0245982, RATIO_SHANNON_ENTROPY: 0.5658100, RATIO_AVERAGE_POPULARITY: 5.2200571, RATIO_NOVELTY: 0.2717106, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'l1_ratio': 0.018116958183936313, 'topK': 3776, 'alpha': 0.08164669346528802, 'workers': 2, 'mw': 9} - results: PRECISION: 0.0373775, PRECISION_RECALL_MIN_DEN: 0.0584301, RECALL: 0.0537182, MAP: 0.0164507, MAP_MIN_DEN: 0.0254883, MRR: 0.1212583, NDCG: 0.0556888, F1: 0.0440823, HIT_RATE: 0.2740968, ARHR_ALL_HITS: 0.1407519, NOVELTY: 0.0039802, AVERAGE_POPULARITY: 0.2929538, DIVERSITY_MEAN_INTER_LIST: 0.8603128, DIVERSITY_HERFINDAHL: 0.9860250, COVERAGE_ITEM: 0.1420002, COVERAGE_ITEM_HIT: 0.0125678, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.2701067, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0099820, SHANNON_ENTROPY: 7.5299439, RATIO_DIVERSITY_HERFINDAHL: 0.9863472, RATIO_DIVERSITY_GINI: 0.0206573, RATIO_SHANNON_ENTROPY: 0.5590246, RATIO_AVERAGE_POPULARITY: 5.2254643, RATIO_NOVELTY: 0.2707093, 
SearchBayesianSkopt: New best config found. Config 3: {'l1_ratio': 0.006694234266694359, 'topK': 5119, 'alpha': 0.02542919917901581, 'workers': 2, 'mw': 10} - results: PRECISION: 0.0441714, PRECISION_RECALL_MIN_DEN: 0.0693132, RECALL: 0.0638790, MAP: 0.0194982, MAP_MIN_DEN: 0.0303654, MRR: 0.1394666, NDCG: 0.0655710, F1: 0.0522280, HIT_RATE: 0.3151236, ARHR_ALL_HITS: 0.1642144, NOVELTY: 0.0040733, AVERAGE_POPULARITY: 0.2616015, DIVERSITY_MEAN_INTER_LIST: 0.8981799, DIVERSITY_HERFINDAHL: 0.9898114, COVERAGE_ITEM: 0.1543233, COVERAGE_ITEM_HIT: 0.0186885, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3105362, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0126307, SHANNON_ENTROPY: 8.0153718, RATIO_DIVERSITY_HERFINDAHL: 0.9901349, RATIO_DIVERSITY_GINI: 0.0261386, RATIO_SHANNON_ENTROPY: 0.5950629, RATIO_AVERAGE_POPULARITY: 4.6662284, RATIO_NOVELTY: 0.2770415, 
SearchBayesianSkopt: Config evaluated with evaluator_test. Config: {'l1_ratio': 0.006694234266694359, 'topK': 5119, 'alpha': 0.02542919917901581, 'workers': 2, 'mw': 10} - results:
CUTOFF: 10 - PRECISION: 0.0555999, PRECISION_RECALL_MIN_DEN: 0.0739133, RECALL: 0.0634145, MAP: 0.0257128, MAP_MIN_DEN: 0.0338211, MRR: 0.1721203, NDCG: 0.0752924, F1: 0.0592506, HIT_RATE: 0.3685393, ARHR_ALL_HITS: 0.2091968, NOVELTY: 0.0040746, AVERAGE_POPULARITY: 0.2613310, DIVERSITY_MEAN_INTER_LIST: 0.8983911, DIVERSITY_HERFINDAHL: 0.9898326, COVERAGE_ITEM: 0.1557514, COVERAGE_ITEM_HIT: 0.0200759, ITEMS_IN_GT: 0.9081487, COVERAGE_USER: 0.9941626, COVERAGE_USER_HIT: 0.3663880, USERS_IN_GT: 0.9941626, DIVERSITY_GINI: 0.0127292, SHANNON_ENTROPY: 8.0218917, RATIO_DIVERSITY_HERFINDAHL: 0.9901561, RATIO_DIVERSITY_GINI: 0.0263424, RATIO_SHANNON_ENTROPY: 0.5955469, RATIO_AVERAGE_POPULARITY: 4.6614041, RATIO_NOVELTY: 0.2771278, 

SearchBayesianSkopt: New best config found. Config 4: {'l1_ratio': 0.0001512172283326146, 'topK': 416, 'alpha': 0.0024741863645032676, 'workers': 2, 'mw': 2} - results: PRECISION: 0.0476817, PRECISION_RECALL_MIN_DEN: 0.0735545, RECALL: 0.0675674, MAP: 0.0218386, MAP_MIN_DEN: 0.0336082, MRR: 0.1521165, NDCG: 0.0711855, F1: 0.0559090, HIT_RATE: 0.3288723, ARHR_ALL_HITS: 0.1813088, NOVELTY: 0.0043621, AVERAGE_POPULARITY: 0.1872666, DIVERSITY_MEAN_INTER_LIST: 0.9546287, DIVERSITY_HERFINDAHL: 0.9954559, COVERAGE_ITEM: 0.2235280, COVERAGE_ITEM_HIT: 0.0322765, ITEMS_IN_GT: 0.8586118, COVERAGE_USER: 0.9854425, COVERAGE_USER_HIT: 0.3240848, USERS_IN_GT: 0.9854425, DIVERSITY_GINI: 0.0268678, SHANNON_ENTROPY: 9.2594522, RATIO_DIVERSITY_HERFINDAHL: 0.9957812, RATIO_DIVERSITY_GINI: 0.0556016, RATIO_SHANNON_ENTROPY: 0.6874237, RATIO_AVERAGE_POPULARITY: 3.3403056, RATIO_NOVELTY: 0.2966811, 
SearchBayesianSkopt: Config evaluated with evaluator_test. Config: {'l1_ratio': 0.0001512172283326146, 'topK': 416, 'alpha': 0.0024741863645032676, 'workers': 2, 'mw': 2} - results:
