,topK,l1_ratio,alpha
0,1307,0.048945223846787185,0.08860202924149128
1,5564,0.002039284402035238,0.08180393439158647
2,2651,0.035894195146903174,0.09504426017080829
3,7651,0.0010497146341254772,0.07360672501918399
4,7430,0.0023840825101563066,0.08377997313116979
5,246,0.01957187682790688,0.04581267483265705
6,9629,0.002845460461814771,0.05525864691788654
7,5459,0.004091616556730224,0.06728852050049486
8,7092,0.0022588746078849014,0.09606184362297357
9,1818,0.0018213739430536354,0.03796140478646928
10,7088,0.02775035011895537,0.036733203121354106
11,8950,0.001572375951931239,0.04527168454977193
12,2729,0.0038069976774526494,0.044687379538905746
13,5566,0.001400107977891441,0.0013526440430809482
14,7278,0.010701233000828453,0.03137117493555948
15,6619,0.011054260040759996,0.057827630283109874
16,5197,0.0029652228445480443,0.08295931454616916
17,545,0.01848556220196416,0.07795691301883796
18,3099,0.0013097684484775689,0.026859262519423423
19,4731,0.0031063621611134916,0.07650259423672907
20,9416,0.002044013298888358,0.03668962647438365
21,6087,0.020943137770236358,0.04314917743607668
22,1295,0.024330210364186283,0.01963950765482345
23,2987,0.03445106074478033,0.03151967378664327
24,4996,0.011571069711553007,0.0252356813665709
25,532,0.0019014804449228261,0.046454221638685456
26,6903,0.00695787686617718,0.04579562205783959
27,4986,0.009560501071817737,0.01085343146094708
28,3677,0.004166226732509778,0.034207528217237916
29,3468,0.01282917053322962,0.07352052119758214
30,2465,0.0015486053519984013,0.09676621821737943
31,3983,0.006232364911696999,0.07333061843537135
32,8287,0.001520913168172666,0.003007097846831972
33,3077,0.015877853617692273,0.005025841397487492
34,7657,0.005257053578031656,0.017372555181900267
35,6606,0.0330756681193257,0.006021879831193441
36,1843,0.07241282993317846,0.040035405549408716
37,5480,0.025197174381857396,0.02279913791561829
38,4915,0.008840947294175916,0.0047357364562691864
39,6606,0.07470283005295754,0.002609422164104114
40,8290,0.004409071634786062,0.08383973332428778
41,5389,0.027922793511340988,0.09798301639777549
42,2402,0.003974593950873813,0.07902640413371396
43,558,0.05823302394317055,0.030651549024211834
44,8895,0.046030983984171076,0.0025442086465804507
45,569,0.007276769302640121,0.05208203016246071
46,7392,0.0526511746657274,0.07221469213536647
47,4530,0.0011788386233638213,0.04771220326117043
48,9749,0.06152439933320236,0.06520664438380093
49,4429,0.014554691390447502,0.07005971184858893
50,2203,0.019968904702108742,0.07846862941440043
51,1619,0.019016251050491123,0.04298127040656954
52,7842,0.018642080090935726,0.0020884436011601435
53,6670,0.053924379748804346,0.043410315299905834
54,3651,0.020809220051662917,0.03323707499955334
55,6128,0.002872428669286201,0.028838734465397572
