user_id,item_list
0,20 617 29 18484 391 25 107 353 23 673
1,6874 1068 56 62 393 270 1689 60 665 598
2,121 7864 1311 8819 21319 1308 750 453 18939 1648
3,21 20 269 352 23 393 58 1911 557 1746
4,23 21 80 124 436 541 2119 56 61 64
5,53 21 393 25 124 348 60 20 468 270
6,56 62 1746 395 521 60 61 208 272 895
7,1154 21 771 22 421 676 58 364 23 672
8,22 828 750 100 827 1306 21 1832 2494 20
9,21 23 58 25 353 271 121 29 272 27
10,22 21 1004 613 3397 177 179 176 917 1608
11,21 71 356 1154 16516 124 11660 917 95 2117
12,1311 21 750 771 2494 673 149 1994 100 831
13,21 311 1311 537 14220 2498 106 17086 310 6777
14,2472 56 124 29 1266 2581 436 11363 209 270
15,771 7632 14460 22 22370 22472 7569 17237 27 11761
16,432 124 2581 25 29 20 56 393 436 450
17,22 1911 21 613 1004 20 521 61 13475 1048
18,80 71 88 2278 3987 64 1697 20104 3988 2346
19,496 16887 124 130 23 102 493 20 201 61
20,771 21 22 53 1752 268 1449 23 2064 1004
21,11855 813 20422 14805 14524 349 2998 17714 7632 20958
22,53 617 1752 387 598 498 2592 2023 61 2064
23,1154 750 828 778 831 450 5 499 1994 101
24,2037 1308 105 450 269 271 272 21 13359 3280
25,348 53 25 22 353 20 207 468 27 56
26,20 124 676 450 672 29 771 56 126 1617
27,58 56 269 394 29 20 1068 596 684 772
28,121 684 126 678 93 1263 499 2559 393 56
29,836 5440 2916 121 360 340 536 1618 20532 2559
30,21 393 20 348 345 124 22 56 1068 25
31,731 751 446 752 455 1266 812 426 448 20532
32,521 895 352 2781 88 55 58 269 5531 54
33,21 672 126 1640 1641 95 1642 98 1653 395
34,450 667 448 126 828 1691 18484 751 452 1266
35,22403 750 130 673 16887 828 106 10221 17531 109
36,446 581 450 453 811 2444 458 20422 1266 810
37,29 20 23 353 557 208 436 121 271 60
38,270 58 352 62 22 751 53 121 60 21
39,1502 80 692 6495 71 82 2105 2916 20104 3993
40,23 21 347 348 436 20 24 56 28 455
41,20 314 3397 124 449 678 492 29 15711 2333
42,21 20 124 29 771 353 676 613 11660 84
43,1263 62 450 56 14805 23 14524 25 15245 426
45,771 21 68 64 75 67 79 77 2112 2106
46,22 450 121 572 126 21 270 16887 1534 1326
47,23 752 551 751 25 56 124 468 29 1308
48,207 676 126 818 95 24 53 1194 22 841
49,1327 58 53 1263 393 56 20422 21 22 453
50,62 56 448 208 426 54 446 21 29 453
51,1048 557 53 56 4073 426 23 22 917 916
52,207 20 68 629 1327 71 2106 80 2111 124
53,1263 1264 109 132 19112 100 20422 750 1266 457
54,121 25 124 353 29 672 436 56 347 521
55,15454 7864 9791 99 21 56 58 130 23 1308
56,541 826 775 1039 773 1108 385 155 154 995
57,21 432 20 335 124 56 1004 932 14651 25
58,393 21 58 124 271 1068 450 426 270 62
59,2792 1514 1212 3391 5068 5763 450 62 271 71
60,20 23 124 56 1308 676 269 27 113 352
61,676 551 126 95 21 8466 22415 626 555 2585
62,126 676 677 21878 9733 1617 7 2628 130 102
63,337 537 450 387 773 446 22403 25 385 581
64,854 75 629 450 8215 774 352 21 395 56
65,385 773 24 938 626 4480 1994 154 21364 1535
66,35 29 20 25 56 23 1220 348 436 450
67,2256 828 100 109 239 1534 2305 9791 759 2259
68,21 22 448 58 396 271 13988 60 731 393
69,626 1039 826 537 154 909 153 773 56 937
70,2472 93 678 773 121 6887 486 22 2824 60
71,450 18919 1628 455 25 448 126 537 938 457
72,393 337 53 55 271 272 23 270 536 395
73,11621 10376 15304 17415 11678 21420 6138 9829 14490 17449
74,29 60 56 23 22 21 61 1068 1004 373
75,56 20 448 1038 269 1266 61 14805 450 2057
76,1154 126 773 448 1266 121 117 1691 626 446
77,4396 3218 337 53 788 4329 18569 364 1697 885
78,60 1068 62 53 557 20 124 269 596 54
79,629 95 121 672 84 1628 5668 77 2109 2114
80,71 124 2112 68 80 67 2588 1606 2119 29
81,29 21 20 530 576 493 575 579 130 1091
82,21 938 543 683 551 773 124 1109 541 385
83,1154 1263 446 581 810 453 271 964 676 269
84,486 56 676 22 124 471 1911 126 271 678
85,53 387 56 704 1870 1928 124 335 61 1449
86,64 68 77 27 2587 2106 67 2111 773 385
87,22 771 21 25 261 2759 436 124 353 348
88,25 124 1606 1553 61 53 21 1607 22 468
89,432 21 53 25 1534 828 12051 449 22 1648
90,450 1266 446 1263 448 56 426 394 1068 581
91,207 22560 3709 4380 15344 19820 3716 11409 22561 14738
92,15454 1480 8819 10221 16887 1263 7240 298 2495 107
93,3197 1308 99 21 22 20 1311 6187 497 263
94,1861 1653 1640 1677 18557 1681 915 1678 444 56
95,22 21 932 22782 352 20 58 1870 3474 772
96,1263 56 672 1266 121 348 814 812 455 436
97,1077 772 1154 5413 521 5417 2064 347 547 932
98,21 124 126 676 1048 23 25 3816 917 22
99,773 541 153 826 21 1108 1039 155 124 678
100,555 826 537 153 551 993 1039 347 995 994
101,61 270 60 596 1748 55 1263 2064 54 581
102,21 544 468 1326 18557 22 613 4998 545 348
103,16887 14460 673 127 126 106 1616 750 95 102
104,126 8335 121 551 455 827 17714 1693 2535 1740
105,704 4577 5070 2057 5938 5069 1865 3391 1869 1873
106,21 53 23 22 25 270 62 393 3360 5697
107,29 126 1308 704 113 1616 673 17880 828 750
108,1213 836 3992 450 1502 692 58 2694 2105 33
109,817 557 348 23 207 1023 909 353 27 347
110,632 121 1628 3497 52 23 1154 2998 247 130
111,394 15344 62 22754 932 269 22528 21878 772 60
112,121 126 9209 124 25 53 81 61 21474 113
113,56 932 21 23 54 208 154 124 62 271
114,356 121 80 773 684 364 2335 126 52 775
115,22 453 14524 20 667 6202 1648 1263 19404 22599
116,21 2112 20 68 53 348 1624 124 71 67
117,557 450 1901 20 667 841 24 2263 448 386
118,1263 1266 446 207 453 812 58 121 448 1320
119,831 1263 1832 1532 108 1266 2147 828 1849 750
120,29 207 448 450 20 21 453 53 1263 519
121,385 773 938 995 537 775 1108 124 814 10618
122,10221 11044 7864 18001 14809 16713 12114 17075 22441 15441
123,356 364 453 450 56 448 19705 457 2263 20532
124,731 17521 16887 2148 576 9791 504 492 15454 678
125,683 672 448 121 426 93 21 495 1648 1266
126,21319 6494 8335 1979 23 4104 56 2528 17714 2535
127,29 771 763 21 521 25 8335 455 269 613
128,22 269 353 21 56 1326 145 20 968 521
129,53 20104 393 77 4335 56 596 2845 270 1188
130,1327 1514 1212 1859 21 22 20 5070 771 3391
131,8819 22441 15454 6712 14809 18001 22631 16713 385 773
132,426 448 22 446 1266 1263 581 521 23 124
133,126 773 775 676 677 626 9733 98 1617 993
134,29 684 818 20 683 22 358 356 4104 1676
135,450 53 453 446 448 1198 457 387 581 426
136,771 617 5642 58 3244 4220 1869 22427 1919 704
137,80 20553 64 2106 629 79 84 750 20352 2111
138,21 1327 20 678 107 353 179 750 778 2256
139,56 348 25 393 58 22 450 29 448 394
140,20 557 124 56 23 29 450 841 520 24
141,53 21 25 23 455 731 588 426 1648 17237
142,3816 53 25 29 10595 8568 23 352 10599 270
143,450 1266 1263 448 581 810 52 426 1264 271
144,22 1263 17178 683 453 56 1212 18919 13063 19705
145,71 3994 2104 4334 3989 2107 566 2111 629 2106
146,21 20422 817 557 1266 29 667 207 1263 10983
147,2105 11202 2587 2588 360 693 12270 2305 2112 1511
148,751 617 1311 521 498 827 1620 676 2148 1898
149,53 2586 1752 335 24 598 2592 336 268 27
150,7864 15454 6712 18001 22631 12114 15441 14172 1263 6702
151,62 124 272 25 56 771 22 773 20 269
152,11660 2086 4341 16516 14715 445 4333 10177 1691 2534
153,6494 450 29 17178 56 762 771 208 448 394
154,207 358 356 672 1628 121 818 24 1616 113
155,20 21 432 916 762 667 261 1911 124 208
156,121 126 22370 207 617 21 2347 22414 2350 1617
157,271 337 396 29 54 572 269 1068 932 273
158,336 1327 1449 919 2592 335 53 5046 22 668
159,24 21 1196 348 23 468 17900 521 3719 436
160,683 4104 555 1300 12051 1305 2559 626 1301 826
161,58 23 62 396 55 53 771 54 271 598
162,22 1911 21 17075 11044 353 12114 13013 22443 15441
163,683 121 3246 450 25 11660 21 9733 16516 693
164,21 1327 106 831 2256 673 1307 828 124 1532
165,21 2494 541 828 2488 109 16887 750 1108 826
166,29 337 22 21 521 1004 269 352 124 394
167,80 25 450 23 21 629 22 207 810 20
168,58 56 20 60 25 771 596 395 272 393
169,71 21 22 353 2106 25 23 64 2111 84
170,23 1514 28 537 21 1859 544 53 25 347
171,269 2117 44 373 1371 10834 617 77 2371 394
172,29 21 20 5069 5068 1004 5070 241 124 1645
173,1752 348 56 77 68 124 61 469 268 2112
174,667 448 2413 126 2047 457 2054 1266 20422 21
175,61 1068 1263 270 268 55 336 811 2592 1266
176,917 1327 916 22 2111 919 1263 453 80 2588
177,106 102 130 1534 673 1263 2496 391 97 446
178,3987 25 546 53 21 1557 5668 264 29 28
179,22 916 1911 613 21 4073 1038 16887 919 1048
180,1263 450 426 102 673 16887 581 453 421 22
181,23 21 25 272 271 29 353 62 22 56
182,62 932 58 2395 60 208 772 272 29 1952
183,353 818 124 23 1326 27 841 56 468 270
184,53 387 1449 1752 598 61 2963 2064 353 21
185,56 124 25 436 771 60 393 24 432 270
186,448 446 453 581 812 1266 814 349 813 2172
187,357 358 551 355 885 16887 519 6 126 356
188,486 504 2534 2010 471 445 93 678 492 60
189,61 270 21 25 396 23 393 60 62 268
190,239 107 102 97 2743 2494 21 5735 1621 149
191,492 778 486 2148 504 471 1308 107 2495 17506
192,555 626 61 826 453 4396 16908 21 25 458
194,75 2106 80 2586 521 2107 21 20 64 2119
195,17972 450 684 352 20 22 1326 521 448 343
196,80 2112 68 15780 67 854 64 566 2037 2333
197,126 1299 916 1374 22469 23112 95 22 1979 751
198,426 450 813 446 448 1266 1195 52 453 17237
199,23 20 450 771 270 448 62 269 53 393
201,917 121 916 672 21 22 1308 778 613 1311
202,446 1195 2276 1265 812 1320 1193 7013 1548 667
203,752 751 60 1068 62 61 396 8167 395 1630
204,10221 22441 22631 7864 11044 21818 15454 8819 12114 22403
205,450 581 1266 21 453 448 811 813 446 17178
206,22 353 23 541 20 56 19705 436 1911 153
207,20 613 353 25 347 3397 176 917 29 436
208,21 20 124 4631 29 353 1002 668 20532 771
209,1216 1214 676 5070 1212 545 4577 95 450 126
210,29 7632 20 13063 20422 16682 14524 457 15131 124
211,71 21 3991 25 26 2106 436 22 64 613
212,22 23 271 396 56 60 394 596 393 61
213,271 272 56 519 772 394 58 269 536 395
214,77 71 629 854 2107 21 2586 2106 2111 83
215,21 113 95 672 1628 84 358 22844 53 2114
216,23 21 107 102 576 499 60 130 1534 149
217,1154 1501 692 1498 1502 455 3246 130 102 8335
218,124 1023 20 917 23 499 2023 916 352 93
219,3505 2039 21980 106 14369 813 17536 23 192 810
220,23505 9918 14138 19015 16491 14611 3110 14495 23279 6986
221,22 56 2494 21 521 58 54 16887 395 20
222,337 21 23 56 394 55 60 772 269 58
223,21 448 1299 1266 455 588 1263 668 2998 453
224,629 64 2111 20 955 5928 21 2109 3360 23
225,450 1327 421 22 14524 28 2581 20422 812 2263
226,1376 1653 355 1779 126 1758 684 1372 4490 683
227,450 453 446 1263 1648 448 458 814 457 124
228,56 269 393 521 53 396 55 598 968 20
229,126 1302 356 79 121 1372 22752 64 95 22415
230,547 20 56 2362 23 364 524 2365 9465 1080
231,6186 5884 8911 6874 446 22139 14916 13988 53 20372
232,121 126 471 678 93 448 2010 495 2148 2003
233,450 426 393 1266 21 1194 126 1263 53 62
234,124 27 627 620 9278 22 645 353 496 619
235,20 1048 1038 4073 29 2057 676 771 353 124
236,557 20 21 3343 17505 124 450 25 23 29
237,29 1835 208 27 124 560 58 130 4464 436
238,22 124 964 21 521 58 353 351 56 450
239,3539 21319 17178 271 56 272 9323 2039 22402 18854
240,21 826 458 385 668 557 1266 14524 446 153
241,8875 22 207 25 6494 348 53 58 436 124
242,53 855 496 19 413 576 575 986 450 239
243,68 67 61 75 23 629 2119 889 885 951
244,1898 521 22 352 53 6 496 10432 21 2163
245,581 52 2276 349 22 14715 521 11855 20422 20
246,771 337 22 21 394 58 23 353 62 524
247,21 53 555 626 537 773 2444 468 16887 20
248,492 915 56 498 61 14710 1748 566 678 93
249,541 555 154 385 773 826 775 153 121 352
250,2108 11904 7371 14907 79 2105 81 3355 21 855
251,1327 751 1308 617 498 22 686 1501 99 1502
252,56 27 124 25 348 22 23 352 53 545
253,453 1263 21 1266 20422 27 458 667 446 25
254,581 426 23 25 773 775 21 537 448 626
255,337 23 347 4013 2992 3291 28 1437 25 24
256,5070 3391 9672 19705 17193 16626 1779 5069 2792 697
257,1263 543 453 667 1266 937 446 20422 458 60
258,23 124 353 56 385 22 450 345 537 29
259,1194 5190 20216 2037 495 121 10444 22415 1264 25
260,555 453 826 61 25 448 1108 551 387 667
261,2112 2494 567 68 71 67 2588 5735 883 2493
262,126 364 80 5187 71 2119 885 68 2112 1806
263,67 1616 676 672 677 629 2119 1619 53 1618
264,21 23 25 22 1835 353 348 1311 27 20
265,1222 1311 1266 581 58 810 426 1152 1136 1188
266,21 121 53 352 22 387 672 1308 9733 1311
267,23 53 387 270 396 58 393 348 207 261
268,1911 22 21 23 353 25 450 1374 1048 348
269,1263 20422 23 21 814 11855 19112 14524 22 1264
270,21 23 22 353 436 53 61 393 60 29
271,56 61 55 396 1068 23 1449 596 58 269
272,6494 22370 22542 20422 22782 18484 22414 1648 22402 8438
273,2254 2253 1787 450 349 811 813 2252 308 25
274,1628 450 426 581 453 2106 1154 113 1188 1263
275,453 124 121 446 426 581 457 1628 56 812
276,763 22 126 21 1004 676 20 396 56 60
277,355 521 358 22 1898 56 4342 448 25 22701
278,1263 704 426 581 22 1870 667 1648 358 811
279,771 21 20 124 572 1004 353 23 645 1326
280,541 22402 6494 626 826 1039 23 56 61 21
281,16682 1444 16030 426 349 2535 10079 20422 22542 444
282,25 61 270 53 60 21 62 964 1068 58
283,261 21 1023 22 1911 124 23 2992 1953 1952
284,22 1263 21 130 127 1266 426 25 814 450
285,450 22 446 581 448 23 20 445 426 25
286,1263 450 446 23 813 537 810 421 22 121
287,124 20 771 1263 53 13988 270 448 348 1648
288,14651 4380 23112 19690 3709 14738 19620 3716 11409 17553
289,99 1308 750 2147 17237 849 827 1532 5 109
290,23 60 396 557 21 25 448 598 20 1266
291,6494 426 448 121 450 52 21 2998 14805 22435
292,22 20 71 1213 29 1501 2586 2107 348 1498
293,29 25 22 1327 271 23 1024 771 353 56
294,453 731 2263 1691 11100 1263 21 1648 455 2998
295,21 771 22472 58 20 271 269 270 22782 450
296,455 1308 731 588 827 17237 803 452 105 4574
297,332 1835 1263 1327 936 778 58 53 22717 23
298,207 53 56 1449 335 1748 348 393 55 270
299,126 672 95 21 2581 98 209 1308 1374 115
300,453 2998 17178 14805 22402 13988 22542 11855 10983 22435
301,771 80 71 22 450 64 20 453 446 124
302,1561 21 6597 29 1562 771 17694 353 13463 1558
303,2023 445 130 524 1835 5884 21 1648 8911 127
304,393 396 29 272 426 54 55 446 124 448
305,393 352 25 521 20 22 1746 174 2497 1214
306,56 124 20 270 968 387 4240 10791 29 269
307,499 678 93 7 498 19647 486 495 2148 778
308,396 20 596 23 25 124 1748 536 22 335
309,916 1048 4036 4073 919 1630 676 22 613 1631
310,1038 124 537 667 453 56 43 25 917 436
311,7864 22441 16713 750 6712 22443 18001 271 18939 11044
312,21 1327 25 29 353 126 676 436 547 208
313,15454 12114 11044 22631 21818 17531 15441 16204 15711 14172
314,22 1048 613 919 4036 1038 544 1154 21 53
315,126 915 95 128 7613 750 1740 691 7632 827
316,917 916 667 450 9209 5046 448 453 20532 21
317,771 22 21 272 62 271 261 208 56 1004
318,566 58 8470 567 75 21 22907 629 22345 91
319,7864 14809 10221 9791 17764 8819 6712 12114 6702 17531
320,6494 7864 22403 1263 14809 1188 581 450 1266 15454
321,1263 453 426 813 814 581 811 458 421 495
322,21 432 25 393 672 10109 56 348 53 22414
323,20 15454 9791 450 22527 15566 3898 29 14985 1263
324,21 271 56 771 269 337 71 683 772 394
325,450 117 342 20 56 731 672 1691 98 448
326,813 124 1835 915 812 1648 18484 56 29 25
